Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Epidemiologie;(epidemiology);WHO-Definition: Lehre von der Untersuchung der Verteilung von Krankheiten, physiologischen Variablen und sozialen Krankheitsfolgen in menschlichen Bevölkerungsgruppen sowie der Faktoren, die diese Verteilung beeinflussen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"WHO-Definition: Lehre von der Untersuchung der Verteilung von Krankheiten, physiologischen Variablen und sozialen Krankheitsfolgen in menschlichen Bevölkerungsgruppen sowie der Faktoren, die diese Verteilung beeinflussen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=116
Erkenntnisfähigkeit;(cognitive powers);Juristisch: Die Fähigkeit, eine konkrete Situation zu erfassen.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Die Fähigkeit, eine konkrete Situation zu erfassen.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=117
Ethikkommission;(ethics committee);Juristisch: Die Ethikkommissionen überprüfen im Rahmen ihrer Zuständigkeiten, ... ob die Forschungsprojekte und deren Durchführung den ethischen, rechtlichen und wissenschaftlichen Anforderungen dieses Gesetzes entsprechen. Insbesondere überprüfen sie, ob der Schutz der betroffenen Personen gewährleistet ist. Sie können die Forscherinnen und Forscher insbesondere zu ethischen Fragen beraten und auf deren Anfrage hin Stellungnahmen zu nicht diesem Gesetz unterstehenden Forschungsvorhaben abgeben, namentlich zu solchen, die im Ausland durchgeführt werden.;Quelle: Art. 51 HFG;"Juristisch:
Die Ethikkommissionen überprüfen im Rahmen ihrer Zuständigkeiten, ... ob die Forschungsprojekte und deren Durchführung den ethischen, rechtlichen und wissenschaftlichen Anforderungen dieses Gesetzes entsprechen. Insbesondere überprüfen sie, ob der Schutz der betroffenen Personen gewährleistet ist. Sie können die Forscherinnen und Forscher insbesondere zu ethischen Fragen beraten und auf deren Anfrage hin Stellungnahmen zu nicht diesem Gesetz unterstehenden Forschungsvorhaben abgeben, namentlich zu solchen, die im Ausland durchgeführt werden.
Quelle: Art. 51 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=119
Evaluation;(evaluation);Eine Erfolgskontrolle, die versucht, so systematisch und objektiv wie möglich die Relevanz, Wirksamkeit und Auswirkung von Massnahmen im Lichte ihres Zweckes zu ermitteln und damit Entscheidungshilfen für bessere Planung und Durchführung zu liefern.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Eine Erfolgskontrolle, die versucht, so systematisch und objektiv wie möglich die Relevanz, Wirksamkeit und Auswirkung von Massnahmen im Lichte ihres Zweckes zu ermitteln und damit Entscheidungshilfen für bessere Planung und Durchführung zu liefern.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=121
Evidenzbasierte Medizin;(evidencebased medicine);"Vorgehensweise des medizinischen Handelns, individuelle Patienten auf der Basis der besten zur Verfügung stehenden Daten zu versorgen. Diese Technik umfasst die systematische Suche nach der relevanten Evidenz in der medizinischen Literatur für eine konkretes klinisches Problem, die kritischen Beurteilung der Validität der Evidenz nach klinisch-epidemiologischen Gesichtspunkten; die Bewertung der Grösse des beobachteten Effekts sowie die Anwendung dieser Evidenz auf den konkreten Patienten mit Hilfe er klinischen Erfahrung und der Vorstellung der Patienten.";Quelle: Glossar zur Evidenzbasierten Medizin des deutschen Netzwerks der Evidenzbasierten Medizin. Online verfügbar unter www.ebm-netzwerk.de/was-ist-ebm/images/dnebm-glossar-2011.pdf/view, zuletzt geprüft am 01/02/2014.;"Vorgehensweise des medizinischen Handelns, individuelle Patienten auf der Basis der besten zur Verfügung stehenden Daten zu versorgen. Diese Technik umfasst die systematische Suche nach der relevanten Evidenz in der medizinischen Literatur für eine konkretes klinisches Problem, die kritischen Beurteilung der Validität der Evidenz nach klinisch-epidemiologischen Gesichtspunkten; die Bewertung der Grösse des beobachteten Effekts sowie die Anwendung dieser Evidenz auf den konkreten Patienten mit Hilfe er klinischen Erfahrung und der Vorstellung der Patienten.
Quelle: Glossar zur Evidenzbasierten Medizin des deutschen Netzwerks der Evidenzbasierten Medizin. Online verfügbar unter www.ebm-netzwerk.de/was-ist-ebm/images/dnebm-glossar-2011.pdf/view, zuletzt geprüft am 01/02/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=122
experimentelle Epidemiologie ;(experimental epidemiology);Teil der Epidemiologie, der sich mit der Testung eines experimentellen, kontrollierbaren Faktors (Intervention im Rahmen von randomisierten klinischen Studien oder bevölkerungsbezogenen Interventionsstudien) befasst.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Teil der Epidemiologie, der sich mit der Testung eines experimentellen, kontrollierbaren Faktors (Intervention im Rahmen von randomisierten klinischen Studien oder bevölkerungsbezogenen Interventionsstudien) befasst.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=127
Experimentelle Therapie;(experimental therapy);Experimentelle Therapie bedeutet...eine Therapie, die erheblich von den geltenden fachlichen Empfehlungen abweicht und deren Nutzen und Risiken weniger gut abgeschätzt werden können als bei der Standardtherapie. Die systematische, graduelle Verbesserung therapeutischer oder diagnostischer Verfahren im Rahmen von Qualitätsprojekten gilt nicht als experimentelle Therapie, solange keine qualitativ neuen Schritte mit experimentellem Charakter eingefügt werden. Hingegen kann die Kombination von zwei Standardtherapien experimentellen Charakter aufweisen. ;Quelle: SAMW (2013). Entwurf zur Richtlinie: Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW. Online verfügbar unter www.samw.ch/dms/de/Ethik/RL/.../d_RL_Standard_Vernehmlassung.pdf, zuletzt geprüft am 01/02/2014. ;"Experimentelle Therapie bedeutet...eine Therapie, die erheblich von den geltenden fachlichen Empfehlungen abweicht und deren Nutzen und Risiken weniger gut abgeschätzt werden können als bei der Standardtherapie. Die systematische, graduelle Verbesserung therapeutischer oder diagnostischer Verfahren im Rahmen von Qualitätsprojekten gilt nicht als experimentelle Therapie, solange keine qualitativ neuen Schritte mit experimentellem Charakter eingefügt werden. Hingegen kann die Kombination von zwei Standardtherapien experimentellen Charakter aufweisen. 
Quelle: SAMW (2013). Entwurf zur Richtlinie: Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW. Online verfügbar unter www.samw.ch/dms/de/Ethik/RL/.../d_RL_Standard_Vernehmlassung.pdf, zuletzt geprüft am 01/02/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=126
Exposition;(exposure);Bedingungen, Krankheitsursachen oder Risikofaktoren, welchen bestimmte Personen oder Bevölkerungsgruppen ausgesetzt sind. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Bedingungen, Krankheitsursachen oder Risikofaktoren, welchen bestimmte Personen oder Bevölkerungsgruppen ausgesetzt sind. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=128
Fall;(case);In der Epidemiologie eine Person in der Bevölkerung oder der Studiengruppe mit der definierten Krankheit oder Gesundheitsstörung, die untersucht wird. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"In der Epidemiologie eine Person in der Bevölkerung oder der Studiengruppe mit der definierten Krankheit oder Gesundheitsstörung, die untersucht wird. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=129
Fall-Kontroll-Studie;(case-control study);Studie, welche identifizierte Fälle mit möglichst identischen Kontrollen bezüglich Expositionen in der Vergangenheit vergleicht und daraus Hinweise auf Entstehung und Ursachen der Krankheit gewinnen möchte (sie ist immer retrospektiv).;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Studie, welche identifizierte Fälle mit möglichst identischen Kontrollen bezüglich Expositionen in der Vergangenheit vergleicht und daraus Hinweise auf Entstehung und Ursachen der Krankheit gewinnen möchte (sie ist immer retrospektiv).
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=130
FDA;(Food and Drug Administration FDA);Food and Drug Administration (FDA): Amerikanische Zulassungsbehörde für Medizinprodukte und Lebensmittel. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Food and Drug Administration (FDA): Amerikanische Zulassungsbehörde für Medizinprodukte und Lebensmittel. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=131
Fehlerquellen;(sources of error);In der Epidemiologie können verschiedene Arten von Fehlern vorkommen. Eine häufige Fehlerquelle ist die Verzerrung (siehe Bias). Zufällig verteilte Fehler kommen zum Beispiel durch die Streuung beim Messen zustande und resultieren in Fehlern 1. Art und Fehlern 2. Art. Systematische Fehler sind nicht auf Zufall zurückzuführen und können zum Beispiel auf falsch eingestellten Messinstrumenten beruhen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"In der Epidemiologie können verschiedene Arten von Fehlern vorkommen. Eine häufige Fehlerquelle ist die Verzerrung (siehe Bias). Zufällig verteilte Fehler kommen zum Beispiel durch die Streuung beim Messen zustande und resultieren in Fehlern 1. Art und Fehlern 2. Art. Systematische Fehler sind nicht auf Zufall zurückzuführen und können zum Beispiel auf falsch eingestellten Messinstrumenten beruhen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=132
Feldstudie;(case study);Begriff, der manchmal für Studien gebraucht wird, die ausserhalb der Kliniken (in Arztpraxen oder in der Bevölkerung) durchgeführt werden.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Begriff, der manchmal für Studien gebraucht wird, die ausserhalb der Kliniken (in Arztpraxen oder in der Bevölkerung) durchgeführt werden.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=133
Fertilität;(fertility);Allgemeines Mass für die Fruchtbarkeit einer Bevölkerung, ausgedrückt als Fertilitätsziffer (Fruchtbarkeitsziffer) = Zahl der Lebendgeborenen in einem Jahr dividiert durch Zahl der 15- bis 44-jährigen Frauen derselben Gegend in demselben Jahr x 1000.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Allgemeines Mass für die Fruchtbarkeit einer Bevölkerung, ausgedrückt als Fertilitätsziffer (Fruchtbarkeitsziffer) = Zahl der Lebendgeborenen in einem Jahr dividiert durch Zahl der 15- bis 44-jährigen Frauen derselben Gegend in demselben Jahr x 1000.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=134
Filteruntersuchung;(screening);Verfahren der sekundären Prävention, welche eine unbekannte Krankheit oder deren Risikofaktoren durch einfache Untersuchung vieler Probanden zu erfassen sucht. Ziel der Filteruntersuchung ist nicht die endgültige Diagnose für das Individuum.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Verfahren der sekundären Prävention, welche eine unbekannte Krankheit oder deren Risikofaktoren durch einfache Untersuchung vieler Probanden zu erfassen sucht. Ziel der Filteruntersuchung ist nicht die endgültige Diagnose für das Individuum.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=135
Follow-up;(follow-up);Ein Verfahren, bei welchem dieselben Probanden über längere Zeit regelmässig untersucht werden. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Ein Verfahren, bei welchem dieselben Probanden über längere Zeit regelmässig untersucht werden. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=142
Forschung;(research);Juristisch: Die Suche nach neuen Erkenntnissen sowie deren systematische Dokumentation und Veröffentlichung.;Quelle: Wikipedia. Online verfügbar unter http://de.wikipedia.org/wiki/Forschung, zuletzt geprüft am 28/01/2014.;"Die Suche nach neuen Erkenntnissen sowie deren systematische Dokumentation und Veröffentlichung.
Quelle: Wikipedia. Online verfügbar unter http://de.wikipedia.org/wiki/Forschung, zuletzt geprüft am 28/01/2014.
Juristisch:
Eine Methodengeleitete Suche nach verallgemeinerbaren Erkenntnissen.
Quelle: Art. 3 HFG

Synonyme:

									Rein wissenschaftliche Forschung
									Wissenschaftliche Forschung und Entwicklung
							";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=144
Forschung am Menschen;(research on human beings);Juristisch: Jede systematische, überprüfbare Suche nach neuen Erkenntnissen über Gesundheit und Krankheit beim Menschen. ;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.;"Jede systematische, überprüfbare Suche nach neuen Erkenntnissen über Gesundheit und Krankheit beim Menschen. 
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.
Juristisch:
Forschung zu Krankheiten des Menschen sowie zu Aufbau und Funktion des menschlichen Körpers, die durchgeführt wird:a. mit Personen;b. an verstorbenen Personen;c. an Embryonen und Föten;d. mit biologischem Material;e. mit gesundheitsbezogenen Personendaten.Im Sinne dieses Gesetzes gelten als:a. Forschung: methodengeleitete Suche nach verallgemeinerbaren Erkenntnissen;b.Forschung zu Krankheiten: Forschung über Ursachen, Prävention, Diagnose, Therapie und Epidemiologie von physischen und psychischen Beeinträchtigungen der Gesundheit des Menschen;c.Forschung zu Aufbau und Funktion des menschlichen Körpers: Grundlagenforschung, insbesondere zur Anatomie, Physiologie und Genetik des menschlichen Körpers, sowie nicht auf Krankheiten bezogene Forschung zu Eingriffen und Einwirkungen auf den menschlichen Körper;d.Forschungsprojekt mit erwartetem direktem Nutzen: ein Forschungsprojekt, dessen Ergebnisse eine Verbesserung der Gesundheit der teilnehmenden Personen erwarten lassen;e.biologisches Material: Körpersubstanzen, die von lebenden Personen stammen;f.gesundheitsbezogene Personendaten: Informationen über eine bestimmte oder bestimmbare Person, die sich auf deren Gesundheit oder Krankheit beziehen, einschliesslich ihrer genetischen Daten;g.genetische Daten: Informationen über das Erbgut einer Person, die durch eine genetische Untersuchung gewonnen werden;h.verschlüsseltes biologisches Material und verschlüsselte gesundheitsbezogene Personendaten: biologisches Material und Daten, die mit einer bestimmten Person über einen Schlüssel verknüpft sind;i.anonymisiertes biologisches Material und anonymisierte gesundheitsbezogene Daten: biologisches Material und gesundheitsbezogene Daten, die nicht oder nur mit unverhältnismässigem Aufwand auf eine bestimmte Person zurückgeführt werden können;j.Kind: minderjährige Person bis zur Vollendung des 14. Altersjahres;k.Jugendliche oder Jugendlicher: minderjährige Person ab der Vollendung des 14. Altersjahres;l.klinischer Versuch: Forschungsprojekt mit Personen, das diese prospektiv einer gesundheitsbezogenen Intervention zuordnet, um deren Wirkungen auf die Gesundheit oder auf den Aufbau und die Funktion des menschlichen Körpers zu untersuchen.















Quelle: Art. 2 HFGArt. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=145
Forschung mit erwartetem direktem Nutzen;(research with a potential direct benefit);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=146
Forschung zu Aufbau und Funktion des menschlichen Körpers;(research into the structure and functioning of the human body);Juristisch: Grundlagenforschung, insbesondere zur Anatomie, Physiologie und Genetik des menschlichen Körpers, sowie nicht auf Krankheit bezogene Forschung zu Eingriffen und Einwirkungen auf den menschlichen Körper.;Quelle: Art. 3 HFG;"Juristisch:
Grundlagenforschung, insbesondere zur Anatomie, Physiologie und Genetik des menschlichen Körpers, sowie nicht auf Krankheit bezogene Forschung zu Eingriffen und Einwirkungen auf den menschlichen Körper.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=147
Forschung zu Krankheiten;(research into diseases);Juristisch: Forschung über Ursachen, Prävention, Diagnose, Therapie und Epidemiologie von physischen und psychischen Beeinträchtigungen der Gesundheit des Menschen.;Quelle: Art. 3 HFG;"Juristisch:
Forschung über Ursachen, Prävention, Diagnose, Therapie und Epidemiologie von physischen und psychischen Beeinträchtigungen der Gesundheit des Menschen.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=148
Forschungsethikkommission;(research ethics committee);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=149
Forschungsprojekt mit erwartetem direktem Nutzen;(Research project with an expected direct benefit);Juristisch: ;Quelle: ;"Juristisch:

Ein Forschungsprojekt, dessen Ergebnisse eine Verbesserung der Gesundheit der teilnehmenden Personen erwarten lassen.

Quelle: 
Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=520
Fötus;(foetus);Juristisch: Die Frucht vom Abschluss der Organentwicklung bis zur Geburt.;Quelle: Art. 2 FmedG;"Juristisch:
Die Frucht vom Abschluss der Organentwicklung bis zur Geburt.
Quelle: Art. 2 FmedG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=150
Fragebogen;(questionnaire);Ein vorbestimmtes, strukturiertes Instrument zur Befragung, welches häufig bei Datensammlungen benützt wird.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Ein vorbestimmtes, strukturiertes Instrument zur Befragung, welches häufig bei Datensammlungen benützt wird.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=151
Fremdnützige Forschung;(altruistic research);Juristisch: Forschung ohne direkten Nutzen für die teilnehmenden Personen.;Quelle: Botschaft zum Verfassungsartikel über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2007/6713.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Forschung ohne direkten Nutzen für die teilnehmenden Personen.
Quelle: Botschaft zum Verfassungsartikel über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2007/6713.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=152
Frühgeburt;(premature birth);Juristisch: Geburt eines noch nicht ausgetragenen, aber lebensfähigen Kindes. Geburt vor Beendigung von 37 Schwangerschaftswochen.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Juristisch:
Geburt eines noch nicht ausgetragenen, aber lebensfähigen Kindes. Geburt vor Beendigung von 37 Schwangerschaftswochen.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=153
Fürsorge und Güterabwegung;(care and weighing of interests);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=154
Generaleinwilligung;(general consent);Juristisch: Die Einwilligung in die Weiterverwendung biologischen Materialien oder Personendaten für jegliche aktuelle und künftige Forschungsprojekte.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Die Einwilligung in die Weiterverwendung biologischen Materialien oder Personendaten für jegliche aktuelle und künftige Forschungsprojekte.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=157
Genetische Daten;(genetic data);Juristisch: Informationen über das Erbgut einer Person, die durch eine genetische Untersuchung gewonnen werden.;Quelle: Art. 3 HFG;"Juristisch:
Informationen über das Erbgut einer Person, die durch eine genetische Untersuchung gewonnen werden.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=159
Genom;(genome);Die Gesamtheit der Gene eines Individuums (Erbgut).;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Die Gesamtheit der Gene eines Individuums (Erbgut).
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=160
Gentherapie;(gene therapy);Therapieform zur Ausschaltung genbedingter Fehlfunktionen bzw. Wiederherstellung einer normalen Genfunktion mittels eines gentechnischen Eingriffs.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Therapieform zur Ausschaltung genbedingter Fehlfunktionen bzw. Wiederherstellung einer normalen Genfunktion mittels eines gentechnischen Eingriffs.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=161
Gesetz;(law, Act of Parliament);Erlass auf der Stufe unter der Verfassung, der in Rechtssätzen für die Betroffenen Rechte, Pflichten oder Zuständigkeiten festlegt oder durch Gebote oder Verbote Verhaltensanweisungen gibt und der gestützt auf die Verfassung vom Gesetzgeber beschlossen und bekannt gemacht (veröffentlicht) wird.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Erlass auf der Stufe unter der Verfassung, der in Rechtssätzen für die Betroffenen Rechte, Pflichten oder Zuständigkeiten festlegt oder durch Gebote oder Verbote Verhaltensanweisungen gibt und der gestützt auf die Verfassung vom Gesetzgeber beschlossen und bekannt gemacht (veröffentlicht) wird.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=162
Gesetzlicher Vertreter;(legal representative);Person, die auf Grundlage der ihr gesetzlich eingeräumten Befugnis den Patienten vertritt.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Person, die auf Grundlage der ihr gesetzlich eingeräumten Befugnis den Patienten vertritt.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=163
